"","facet","item","labels","tau.usa","tau.ger"
"1","Good Fatih","agree13","I am good at working with a group.","2.75 (0.05)","2.52 (0.05)"
"4","Good Fatih","agree97","I trust what people say.","2.27 (0.05)","2.08 (0.06)"
"2","Integrity","agree67","I misuse power.","0.91 (0.05)","0.67 (0.05)"
"3","Search for Support","agree83","I show my sadness.","1.62 (0.06)","2 (0.09)"
"6","Carefulness","con102","I take precautions.","2.4 (0.05)","2.65 (0.05)"
"9","Carefulness","con15","I avoid mistakes.","2.22 (0.05)","2.5 (0.05)"
"8","Goal orientation","con114","I work hard.","3.12 (0.05)","2.69 (0.06)"
"11","Orderliness","con21","I can never find anything.","1.37 (0.05)","1.01 (0.07)"
"14","Orderliness","con7","I am continually losing things.","1.57 (0.06)","0.95 (0.07)"
"13","Persistence","con66","I like to take my time.","2.7 (0.05)","2.42 (0.05)"
"15","Persistence","con77","I never give up.","2.8 (0.05)","2.65 (0.06)"
"5","Self-discipline","con10","I am easily talked into doing silly things.","1.59 (0.06)","2.3 (0.07)"
"10","Self-discipline","con2","I act impulsively when something is bothering me.","1.83 (0.06)","2.61 (0.07)"
"7","Wish to work to capacity","con11","I am exacting in my work.","2.38 (0.04)","2.95 (0.04)"
"12","Wish to work to capacity","con56","I have extra time on my hands.","1.62 (0.06)","2.21 (0.06)"
"21","Conviviality","extra28","I am good at getting people to like me.","2.56 (0.05)","2.17 (0.05)"
"23","Conviviality","extra99","I enjoy being part of a group.","2.72 (0.05)","2.53 (0.06)"
"20","Energy","extra238","I maintain high energy throughout the day.","2.29 (0.05)","2.1 (0.07)"
"22","Energy","extra311","I tire out quickly.","1.51 (0.05)","1.87 (0.06)"
"18","Positive attitude","extra182","I laugh a lot.","3.2 (0.05)","2.89 (0.05)"
"19","Positive attitude","extra233","I love life.","3.26 (0.04)","2.24 (0.05)"
"16","Wish for affiliation","extra112","I enjoy silence.","2.24 (0.06)","2.65 (0.06)"
"17","Wish for affiliation","extra125","I feel isolated from other people.","1.39 (0.06)","1.14 (0.05)"
"27","Carefreeness","neuro121","I often feel tense.","1.83 (0.06)","2.04 (0.07)"
"28","Carefreeness","neuro29","I am filled with doubts about things.","1.93 (0.06)","1.64 (0.07)"
"26","Drive","neuro117","I never spend more than I can afford.","2.07 (0.07)","2.44 (0.07)"
"31","Drive","neuro87","I hardly know where my life is going.","1.45 (0.06)","1.77 (0.07)"
"24","Emotional robustness","neuro114","I need protection.","1.53 (0.05)","1.82 (0.05)"
"30","Emotional robustness","neuro81","I get overwhelmed by emotions.","1.58 (0.06)","2.08 (0.06)"
"25","Self-attention","neuro116","I need the approval of others.","1.84 (0.06)","2.1 (0.07)"
"29","Self-attention","neuro32","I am preoccupied with myself.","1.5 (0.05)","1.67 (0.06)"
"32","Intellect","open111","I am quick to understand things.","2.73 (0.04)","2.53 (0.09)"
"37","Intellect","open85","I learn quickly.","2.85 (0.05)","2.51 (0.09)"
"33","Interest in reading","open118","I read a lot.","2.06 (0.07)","2.25 (0.08)"
"35","Wish for variety","open5","I am excited by many different activities.","2.75 (0.05)","3.04 (0.05)"
"36","Wish for variety","open71","I have been creative during the last year.","2.84 (0.05)","2.61 (0.05)"
"34","Wish to analyze","open145","I try to understand myself.","3.12 (0.04)","2.8 (0.05)"
"38","Wish to analyze","open93","I like to speculate about things.","2.48 (0.05)","3.03 (0.05)"
