"","facets","lifesat","sattotal","satverb","satquant","gpa_cc","gpa_univ","hsgpa"
"1","sumsA1","0.16","0.03","0.04","0.03","\textbf{-0.21}","-0.03","-0.13"
"2","sumsA2","0.19","0.02","-0.02","0.03","-0.06","-0.05","-0.17"
"3","sumsA3","0.03","-0.02","-0.14","-0.11","0.11","-0.01","-0.02"
"4","sumsA4","-0.05","0.08","0.13","0.1","\textbf{-0.22}","-0.12","-0.09"
"5","sumsA5","-0.18","-0.06","0.03","-0.1","-0.03","0.02","0.03"
"6","sumsA6","\textbf{0.25}","-0.02","-0.06","0.02","-0.14","-0.04","-0.16"
"7","sumsA7","0.12","-0.05","-0.15","-0.15","-0.03","-0.01","-0.17"
"8","sumsA8","0.14","0.02","0.14","0.05","-0.15","-0.13","-0.15"
"9","sumsC1","0.03","0.04","\textbf{0.21}","0.19","-0.09","-0.03","-0.06"
"10","sumsC2","\textbf{0.27}","-0.04","-0.07","-0.02","-0.05","-0.1","-0.12"
"11","sumsC3","0.19","-0.06","-0.05","-0.03","0.06","-0.06","-0.13"
"12","sumsC4","\textbf{0.2}","-0.06","0","-0.02","-0.18","-0.07","-0.17"
"13","sumsC5","\textbf{0.28}","-0.07","0.01","0.02","-0.14","-0.15","\textbf{-0.22}"
"14","sumsC6","\textbf{0.23}","0","0.09","0.1","-0.15","-0.01","-0.16"
"15","sumsC7","0.11","-0.09","-0.17","-0.11","-0.07","-0.01","-0.14"
"16","sumsC8","0.1","-0.04","0.07","0.05","-0.14","0.02","-0.12"
"17","sumsC9","\textbf{0.23}","-0.02","-0.05","-0.06","\textbf{-0.25}","-0.08","-0.13"
"18","sumsE1","\textbf{0.26}","-0.03","0.01","-0.1","0.02","0.04","-0.11"
"19","sumsE2","0","0.02","0.02","-0.04","0.05","0.08","0.14"
"20","sumsE3","\textbf{0.2}","-0.12","-0.15","-0.16","0.12","0","-0.06"
"21","sumsE4","\textbf{0.49}","-0.08","-0.09","-0.07","-0.04","-0.01","-0.07"
"22","sumsE5","0.09","-0.05","0.11","0.03","-0.04","0.03","-0.01"
"23","sumsE6","0.11","-0.01","0.05","-0.09","-0.04","-0.01","-0.06"
"24","sumsE7","0.16","0.16","0.15","0.1","-0.05","0.04","-0.03"
"25","sumsE8","\textbf{0.22}","-0.03","0.02","-0.04","-0.07","0.04","-0.06"
"26","sumsE9","\textbf{0.25}","-0.05","-0.03","-0.02","-0.09","-0.04","-0.06"
"27","sumsN1","\textbf{0.22}","0.03","0","0.02","0.07","-0.09","-0.11"
"28","sumsN2","\textbf{0.53}","-0.04","-0.12","-0.05","-0.01","-0.04","-0.09"
"29","sumsN3","\textbf{0.31}","-0.03","-0.07","-0.06","0.08","0.07","0.01"
"30","sumsN4","\textbf{0.25}","0.1","0.13","0.14","-0.02","0.01","-0.03"
"31","sumsN5","\textbf{0.27}","-0.02","-0.07","-0.01","-0.04","-0.05","-0.08"
"32","sumsN6","0.18","0.01","0.01","0.07","0.19","0.03","0.06"
"33","sumsN7","\textbf{0.21}","-0.08","-0.15","-0.18","0.07","0.04","-0.01"
"34","sumsO1","0.06","0.01","0.02","-0.06","-0.15","0.03","0.01"
"35","sumsO2","0.18","0.03","0.06","-0.02","-0.08","0.01","-0.1"
"36","sumsO3","\textbf{0.22}","-0.04","0.05","0.03","\textbf{-0.23}","0.09","-0.15"
"37","sumsO4","0.07","0.13","\textbf{0.25}","0.06","\textbf{-0.24}","-0.05","-0.16"
"38","sumsO5","0.04","-0.02","0.08","-0.08","-0.12","0.11","-0.05"
"39","sumsO6","0.13","0.11","\textbf{0.24}","0.17","\textbf{-0.23}","0.01","-0.1"
"40","sumsO7","\textbf{0.21}","0.07","0.14","0.11","\textbf{-0.2}","-0.04","-0.1"
"41","sumsO8","0.18","-0.02","0.08","-0.07","-0.1","0.04","-0.12"
"42","sumsO9","\textbf{0.24}","0.16","\textbf{0.27}","\textbf{0.26}","-0.17","-0.02","\textbf{-0.21}"
